Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
441771,Mrs.,Cheryl,O,Scott,F,cheryl.scott@gmail.com,Richard Scott,Lois Scott,Watson,2/23/1958,06:59:29 PM,59.47,47,11/26/1990,Q4,H2,1990,11,November,Nov,26,Monday,Mon,26.69,92220,12%,596-94-2279,215-288-9345,Quecreek,Somerset,Quecreek,PA,15555,Northeast,coscott,Vbb+~2N|_yR
528509,Hon.,Paula,G,Diaz,F,paula.diaz@gmail.com,Alan Diaz,Kathryn Diaz,Powell,8/22/1966,08:11:15 PM,50.97,42,8/22/1994,Q3,H2,1994,8,August,Aug,22,Monday,Mon,22.95,152654,8%,234-57-7671,252-531-7641,Beulaville,Duplin,Beulaville,NC,28518,South,pgdiaz,3Kg55luU
912990,Mr.,Joshua,T,Stewart,M,joshua.stewart@yahoo.ca,Todd Stewart,Martha Stewart,Jones,5/18/1970,03:47:46 AM,47.23,68,9/2/2002,Q3,H2,2002,9,September,Sep,2,Monday,Mon,14.91,184896,1%,755-07-3676,217-279-9342,New Douglas,Madison,New Douglas,IL,62074,Midwest,jtstewart,K?vi9BBznj
214352,Ms.,Theresa,G,Lee,F,theresa.lee@gmail.com,John Lee,Rebecca Lee,Turner,12/5/1992,09:20:52 AM,24.66,59,1/19/2015,Q1,H1,2015,1,January,Jan,19,Monday,Mon,2.52,197537,1%,055-02-9969,319-553-8919,Toeterville,Mitchell,Toeterville,IA,50481,Midwest,tglee,JS#hN&Xij\%QEr
890290,Hon.,Julia,S,Scott,F,julia.scott@apple.com,Lawrence Scott,Amy Scott,King,7/15/1959,09:24:39 PM,58.08,56,2/23/2005,Q1,H1,2005,2,February,Feb,23,Wednesday,Wed,12.43,141518,3%,251-99-1941,423-939-1010,Primm Springs,Hickman,Primm Springs,TN,38476,South,jsscott,r.:Q7c^Tpb
622406,Mr.,Thomas,Q,Lewis,M,thomas.lewis@gmail.com,Ryan Lewis,Lois Lewis,Price,10/4/1967,08:28:14 PM,49.85,73,6/7/1998,Q2,H1,1998,6,June,Jun,7,Sunday,Sun,19.15,73862,3%,467-99-2604,314-679-3697,Dutchtown,Cape Girardeau,Dutchtown,MO,63745,Midwest,tqlewis,y;OJd_Oa#4g|!G
979607,Ms.,Carol,J,Edwards,F,carol.edwards@msn.com,Shawn Edwards,Susan Edwards,Gray,12/14/1994,09:28:36 AM,22.64,56,4/25/2016,Q2,H1,2016,4,April,Apr,25,Monday,Mon,1.26,93967,30%,316-35-9870,225-283-4295,Shreveport,Caddo,Shreveport,LA,71162,South,cjedwards,wi>v-a9gt
969580,Prof.,Matthew,L,Turner,M,matthew.turner@gmail.com,Jose Turner,Kathy Turner,Cox,10/26/1993,01:37:48 AM,23.77,56,2/7/2016,Q1,H1,2016,2,February,Feb,7,Sunday,Sun,1.47,52237,9%,598-92-1988,236-972-7624,Heathsville,Northumberland,Heathsville,VA,22473,South,mlturner,I>tL>d[|lZdi_|^
426038,Hon.,Joan,C,Stewart,F,joan.stewart@yahoo.com,Charles Stewart,Julia Stewart,Collins,11/20/1972,11:14:04 AM,44.72,56,12/30/2009,Q4,H2,2009,12,December,Dec,30,Wednesday,Wed,7.58,111673,12%,429-99-6443,216-637-6800,Middleport,Meigs,Middleport,OH,45760,Midwest,jcstewart,q@mq.U~D#1MPgZ
388642,Mrs.,Ruby,R,Rogers,F,ruby.rogers@gmail.com,Ronald Rogers,Teresa Rogers,Alexander,5/1/1980,01:08:30 PM,37.27,59,8/30/2013,Q3,H2,2013,8,August,Aug,30,Friday,Fri,3.91,160623,9%,236-55-0172,423-231-6507,Woodbury,Cannon,Woodbury,TN,37190,South,rrrogers,t>#P@D9s<:9\V
560455,Ms.,Carolyn,V,Hayes,F,carolyn.hayes@hotmail.co.uk,Jimmy Hayes,Sara Hayes,Foster,3/10/1958,12:52:37 PM,59.42,53,7/3/2001,Q3,H2,2001,7,July,Jul,3,Tuesday,Tue,16.08,42005,14%,730-28-1350,239-882-8784,Saint Cloud,Osceola,Saint Cloud,FL,34771,South,cvhayes,NY!Y2sw.[_v-Q9{
477253,Mrs.,Anne,L,Russell,F,anne.russell@ibm.com,Jimmy Russell,Stephanie Russell,Richardson,7/29/1989,02:57:12 AM,28.02,60,11/24/2013,Q4,H2,2013,11,November,Nov,24,Sunday,Sun,3.68,103160,29%,456-99-5619,605-635-1306,Stockholm,Grant,Stockholm,SD,57264,Midwest,alrussell,c8Nk&Y^~Vz!2
263480,Hon.,Daniel,K,Cooper,M,daniel.cooper@yahoo.com,Louis Cooper,Julie Cooper,Murphy,1/1/1990,07:24:56 PM,27.59,60,3/6/2014,Q1,H1,2014,3,March,Mar,6,Thursday,Thu,3.4,153790,13%,181-86-2024,701-510-8162,Manning,Dunn,Manning,ND,58642,Midwest,dkcooper,d8p{Pwx2fsW0-Z
683826,Mr.,Roger,L,Roberts,M,roger.roberts@gmail.com,Antonio Roberts,Katherine Roberts,Brooks,7/7/1969,03:46:56 PM,48.09,77,1/29/2009,Q1,H1,2009,1,January,Jan,29,Thursday,Thu,8.5,129625,12%,120-98-6493,206-497-3141,Mount Vernon,Skagit,Mount Vernon,WA,98273,West,rlroberts,41:C_0ik|Jb0iTO
474599,Drs.,Maria,W,Walker,F,maria.walker@microsoft.com,Ralph Walker,Teresa Walker,Brooks,3/19/1975,11:07:50 PM,42.39,41,10/1/1998,Q4,H2,1998,10,October,Oct,1,Thursday,Thu,18.84,48944,21%,447-27-3175,423-668-5506,Lawrenceburg,Lawrence,Lawrenceburg,TN,38464,South,mwwalker,cw?%U}s{?
335732,Ms.,Brenda,M,Butler,F,brenda.butler@gmail.com,Phillip Butler,Joyce Butler,Thomas,12/6/1963,03:15:30 AM,53.68,41,8/20/1987,Q3,H2,1987,8,August,Aug,20,Thursday,Thu,29.96,60508,29%,282-15-6434,480-814-8284,Mesa,Maricopa,Mesa,AZ,85208,West,bmbutler,u+CtpZ~gyR*>
329752,Hon.,Lillian,X,Brown,F,lillian.brown@aol.com,Gary Brown,Virginia Brown,Wood,5/12/1981,12:00:55 AM,36.24,49,4/13/2015,Q2,H1,2015,4,April,Apr,13,Monday,Mon,2.29,67251,22%,249-99-8821,239-812-9041,Panacea,Wakulla,Panacea,FL,32346,South,lxbrown,CG-M5~z:
893212,Ms.,Amy,B,Howard,F,amy.howard@aol.com,James Howard,Virginia Howard,Collins,6/16/1981,04:20:22 AM,36.14,52,6/1/2003,Q2,H1,2003,6,June,Jun,1,Sunday,Sun,14.17,112715,30%,686-24-2843,803-613-3168,Kline,Kline,Kline,SC,29814,South,abhoward,tNo::TEG
621833,Mr.,Gregory,X,Edwards,M,gregory.edwards@outlook.com,Jose Edwards,Helen Edwards,Howard,8/31/1993,12:23:15 AM,23.92,64,9/30/2015,Q3,H2,2015,9,September,Sep,30,Wednesday,Wed,1.83,169245,22%,010-94-6817,503-256-9654,Bonanza,Klamath,Bonanza,OR,97623,West,gxedwards,V^sVy*MO{
456747,Mr.,Roy,Z,Griffin,M,roy.griffin@yahoo.com,Benjamin Griffin,Wanda Griffin,Simmons,5/8/1991,12:13:48 AM,26.24,62,8/23/2012,Q3,H2,2012,8,August,Aug,23,Thursday,Thu,4.93,170895,19%,358-08-7660,219-506-9378,Liberty,Union,Liberty,IN,47353,Midwest,rzgriffin,qm&h<b.NsKaZ
278556,Prof.,Richard,Y,Mitchell,M,richard.mitchell@verizon.net,Peter Mitchell,Andrea Mitchell,Flores,7/28/1993,06:30:29 AM,24.02,81,8/18/2016,Q3,H2,2016,8,August,Aug,18,Thursday,Thu,0.94,122226,14%,013-94-5886,205-621-5884,Ohatchee,Calhoun,Ohatchee,AL,36271,South,rymitchell,RWeXJPOi:KpX<Rn
333476,Hon.,Mary,P,Wilson,F,mary.wilson@sbcglobal.net,Robert Wilson,Jennifer Wilson,Patterson,12/1/1967,01:45:41 AM,49.69,54,12/22/1991,Q4,H2,1991,12,December,Dec,22,Sunday,Sun,25.62,109394,16%,198-84-0652,423-937-8660,Nashville,Davidson,Nashville,TN,37219,South,mpwilson,Pwl&W:|<_
218791,Mr.,Aaron,N,Price,M,aaron.price@bp.com,Michael Price,Diana Price,Torres,2/10/1969,03:42:13 AM,48.49,56,7/3/1997,Q3,H2,1997,7,July,Jul,3,Thursday,Thu,20.08,54402,0%,491-29-5152,219-287-8926,Eckerty,Crawford,Eckerty,IN,47116,Midwest,anprice,uKxgV4uO&k@
134841,Ms.,Donna,R,Brown,F,donna.brown@aol.com,Adam Brown,Irene Brown,James,9/14/1983,05:05:35 AM,33.89,57,7/17/2013,Q3,H2,2013,7,July,Jul,17,Wednesday,Wed,4.03,129836,8%,544-81-5182,212-434-7910,Lima,Livingston,Lima,NY,14485,Northeast,drbrown,u?%QOo2ykK
726264,Hon.,Carl,N,Collins,M,carl.collins@yahoo.com,Gerald Collins,Phyllis Collins,Rodriguez,12/22/1973,02:18:24 PM,43.63,90,6/9/2007,Q2,H1,2007,6,June,Jun,9,Saturday,Sat,10.14,162159,7%,544-81-6171,479-740-7633,Wright,Jefferson,Wright,AR,72182,South,cncollins,XinULSmjAFL/
766610,Ms.,Joyce,E,Jenkins,F,joyce.jenkins@aol.com,Edward Jenkins,Susan Jenkins,Hayes,8/22/1961,02:54:56 AM,55.97,44,5/14/2010,Q2,H1,2010,5,May,May,14,Friday,Fri,7.21,119321,13%,695-16-6506,262-455-4187,Ellsworth,Pierce,Ellsworth,WI,54011,Midwest,jejenkins,C5/iW3Ry#o{~elV
923947,Ms.,Mary,G,Bryant,F,mary.bryant@verizon.net,Joshua Bryant,Norma Bryant,Harris,6/21/1962,12:02:11 AM,55.14,45,5/20/2004,Q2,H1,2004,5,May,May,20,Thursday,Thu,13.2,155442,4%,491-29-7461,319-827-3516,Conroy,Iowa,Conroy,IA,52220,Midwest,mgbryant,A[iR?Z1{
227922,Hon.,Amanda,M,Hughes,F,amanda.hughes@rediffmail.com,Roy Hughes,Cynthia Hughes,Bryant,7/29/1982,02:43:26 AM,35.02,40,4/19/2007,Q2,H1,2007,4,April,Apr,19,Thursday,Thu,10.28,114257,22%,311-35-2540,225-544-9700,Lake Charles,Calcasieu,Lake Charles,LA,70605,South,amhughes,B2N>J{_k7]F
265813,Hon.,Jack,E,Campbell,M,jack.campbell@gmail.com,Philip Campbell,Wanda Campbell,Watson,1/4/1985,02:25:34 PM,32.58,50,7/29/2007,Q3,H2,2007,7,July,Jul,29,Sunday,Sun,10.01,186280,23%,047-15-1537,316-499-5737,Kalvesta,Kalvesta,Kalvesta,KS,67856,Midwest,jecampbell,rh\N>WRr4hl~l
247137,Mr.,Alan,E,Rivera,M,alan.rivera@apple.com,Bobby Rivera,Jennifer Rivera,Jackson,12/11/1978,09:46:54 PM,38.65,80,6/7/2006,Q2,H1,2006,6,June,Jun,7,Wednesday,Wed,11.15,154810,12%,399-31-7149,423-277-6819,Knoxville,Knox,Knoxville,TN,37901,South,aerivera,rSuD~3HS*{S
407061,Ms.,Elizabeth,Q,Jackson,F,elizabeth.jackson@aol.com,Scott Jackson,Catherine Jackson,Jackson,8/15/1964,05:45:35 AM,52.99,56,1/19/2005,Q1,H1,2005,1,January,Jan,19,Wednesday,Wed,12.53,85420,24%,660-24-4434,603-568-6118,Rochester,Strafford,Rochester,NH,3867,Northeast,eqjackson,EAHcnWsf6xMRwr]
226714,Drs.,Nancy,L,Davis,F,nancy.davis@ibm.com,Bruce Davis,Jessica Davis,Moore,11/14/1983,02:51:17 AM,33.73,52,8/25/2012,Q3,H2,2012,8,August,Aug,25,Saturday,Sat,4.93,94986,11%,224-99-5928,219-610-3067,Bowling Green,Clay,Bowling Green,IN,47833,Midwest,nldavis,bv-KfTutT?0*pm
702813,Mr.,Ernest,D,Martinez,M,ernest.martinez@gmail.com,Ryan Martinez,Beverly Martinez,Hill,11/9/1989,10:28:03 PM,27.73,53,1/24/2016,Q1,H1,2016,1,January,Jan,24,Sunday,Sun,1.51,172098,8%,672-48-7749,479-951-4138,Uniontown,Crawford,Uniontown,AR,72955,South,edmartinez,qe?JNGBY{[\7;dD
524896,Ms.,Judy,Y,Hernandez,F,judy.hernandez@gmail.com,Fred Hernandez,Pamela Hernandez,Evans,3/25/1961,05:49:46 AM,56.38,40,12/27/2011,Q4,H2,2011,12,December,Dec,27,Tuesday,Tue,5.59,133332,30%,534-71-4481,316-736-6126,Topeka,Shawnee,Topeka,KS,66606,Midwest,jyhernandez,kiB:v!j&?D!&NYY
363065,Drs.,Nancy,L,Jones,F,nancy.jones@gmail.com,Eugene Jones,Sandra Jones,Jenkins,11/10/1993,03:06:00 AM,23.73,60,10/16/2015,Q4,H2,2015,10,October,Oct,16,Friday,Fri,1.78,61924,4%,681-24-3165,212-825-1930,New York City,New York,New York City,NY,10087,Northeast,nljones,J}HJq/zVF-Aq2
879753,Mrs.,Pamela,X,Wright,F,pamela.wright@aol.com,Terry Wright,Debra Wright,Williams,4/14/1996,03:43:43 AM,21.3,47,6/9/2017,Q2,H1,2017,6,June,Jun,9,Friday,Fri,0.13,149262,9%,459-99-9201,307-329-8832,Banner,Sheridan,Banner,WY,82832,West,pxwright,3a*&[Y^pV\0!rU
958326,Mr.,Larry,T,Miller,M,larry.miller@shell.com,Russell Miller,Mildred Miller,Ward,10/31/1988,08:55:23 AM,28.76,75,2/22/2017,Q1,H1,2017,2,February,Feb,22,Wednesday,Wed,0.43,97904,20%,207-84-9482,217-574-9283,East Saint Louis,St. Clair,East Saint Louis,IL,62201,Midwest,ltmiller,2WgF#:ew**x#
447813,Mrs.,Ann,Q,Coleman,F,ann.coleman@ibm.com,Harold Coleman,Tina Coleman,Walker,5/11/1989,09:46:13 PM,28.23,41,11/19/2013,Q4,H2,2013,11,November,Nov,19,Tuesday,Tue,3.69,130014,12%,027-92-0557,319-994-4179,Hancock,Pottawattamie,Hancock,IA,51536,Midwest,aqcoleman,g2]GlvlL5
525955,Drs.,Judy,C,Gonzales,F,judy.gonzales@gmail.com,Kevin Gonzales,Sharon Gonzales,Perez,6/17/1959,07:11:37 PM,58.15,51,1/3/1992,Q1,H1,1992,1,January,Jan,3,Friday,Fri,25.58,149575,9%,029-92-2155,201-640-8645,Eatontown,Monmouth,Eatontown,NJ,7724,Northeast,jcgonzales,yDl}pfaWs{Hro6
818384,Mr.,Peter,X,Washington,M,peter.washington@bp.com,Douglas Washington,Jean Washington,Henderson,11/6/1982,07:45:32 AM,34.75,70,11/29/2009,Q4,H2,2009,11,November,Nov,29,Sunday,Sun,7.67,173226,27%,039-74-8867,231-322-0316,Portage,Kalamazoo,Portage,MI,49024,Midwest,pxwashington,97%d^2rk41!E>*Q
971640,Prof.,Clarence,A,Ross,M,clarence.ross@apple.com,Arthur Ross,Louise Ross,Washington,12/13/1960,07:34:07 PM,56.66,64,12/31/2008,Q4,H2,2008,12,December,Dec,31,Wednesday,Wed,8.58,165272,9%,372-37-5315,423-772-0118,Oneida,Scott,Oneida,TN,37841,South,caross,h&jmac@+QD?B
253573,Ms.,Sharon,E,Lopez,F,sharon.lopez@gmail.com,Daniel Lopez,Susan Lopez,Hayes,5/4/1991,06:24:30 AM,26.25,43,3/7/2014,Q1,H1,2014,3,March,Mar,7,Friday,Fri,3.39,190139,21%,064-02-2589,304-934-5548,Bartley,McDowell,Bartley,WV,24813,South,selopez,GsP~S?FYY
904898,Drs.,Ann,Q,Cooper,F,ann.cooper@exxonmobil.com,Harold Cooper,Mildred Cooper,Williams,12/25/1992,03:01:52 AM,24.61,44,2/15/2017,Q1,H1,2017,2,February,Feb,15,Wednesday,Wed,0.45,182521,30%,219-89-6310,406-278-6460,Arlee,Lake,Arlee,MT,59821,West,aqcooper,i_^#>]tFpt
515103,Ms.,Anne,A,Perez,F,anne.perez@sbcglobal.net,Douglas Perez,Doris Perez,Bailey,5/5/1958,01:44:42 AM,59.27,48,7/28/2003,Q3,H2,2003,7,July,Jul,28,Monday,Mon,14.01,114426,9%,594-99-9091,423-837-3338,Cookeville,Putnam,Cookeville,TN,38505,South,aaperez,y;n9A#}b
491943,Mrs.,Nancy,P,Howard,F,nancy.howard@gmail.com,Gregory Howard,Mildred Howard,Flores,5/5/1961,09:17:37 PM,56.27,45,2/6/1999,Q1,H1,1999,2,February,Feb,6,Saturday,Sat,18.48,101553,25%,035-74-2732,236-973-8086,Saxe,Charlotte,Saxe,VA,23967,South,nphoward,OC\&tG&?c
750173,Mr.,Antonio,R,Roberts,M,antonio.roberts@hotmail.com,Timothy Roberts,Diana Roberts,Rodriguez,8/27/1995,02:47:04 PM,21.93,82,5/1/2017,Q2,H1,2017,5,May,May,1,Monday,Mon,0.24,181646,30%,281-15-7944,205-267-7304,Mc Calla,Jefferson,Mc Calla,AL,35111,South,arroberts,h>.g!B:VcNN
687017,Ms.,Frances,P,Watson,F,frances.watson@outlook.com,Adam Watson,Diana Watson,Jones,1/30/1961,11:52:21 PM,56.53,42,8/20/2010,Q3,H2,2010,8,August,Aug,20,Friday,Fri,6.94,46945,22%,305-37-1946,406-530-8069,Trego,Lincoln,Trego,MT,59934,West,fpwatson,rjV1$at!wq53a$
241882,Ms.,Debra,G,Wood,F,debra.wood@hotmail.com,Martin Wood,Theresa Wood,Perry,10/30/1969,06:58:21 AM,47.78,54,1/10/1991,Q1,H1,1991,1,January,Jan,10,Thursday,Thu,26.56,84318,19%,342-11-6695,308-646-6219,Blair,Washington,Blair,NE,68009,Midwest,dgwood,iO8B@*yA*mG6b9o
758872,Mr.,Henry,Y,Jenkins,M,henry.jenkins@hotmail.com,Albert Jenkins,Beverly Jenkins,Murphy,11/6/1984,02:58:05 PM,32.75,70,6/21/2017,Q2,H1,2017,6,June,Jun,21,Wednesday,Wed,0.1,102384,11%,499-29-3125,314-731-7135,Riverside,Platte,Riverside,MO,64150,Midwest,hyjenkins,zPnRU5Bo
940922,Hon.,Melissa,X,Butler,F,melissa.butler@hotmail.com,Robert Butler,Anne Butler,Jackson,11/14/1994,08:44:14 AM,22.72,55,2/5/2017,Q1,H1,2017,2,February,Feb,5,Sunday,Sun,0.47,167631,30%,301-15-9149,308-827-9016,Maxwell,Lincoln,Maxwell,NE,69151,Midwest,mxbutler,hY3BqUR>6F
917937,Mr.,Todd,H,Hall,M,todd.hall@yahoo.com,Thomas Hall,Kathleen Hall,Morgan,8/31/1991,04:54:02 AM,25.93,74,5/8/2016,Q2,H1,2016,5,May,May,8,Sunday,Sun,1.22,163560,0%,633-31-1781,240-513-8668,Randallstown,Baltimore,Randallstown,MD,21133,South,thhall,Lgdb8q<0L@-/
917395,Hon.,Christopher,D,Nelson,M,christopher.nelson@aol.com,Jeffrey Nelson,Cynthia Nelson,Sanders,3/29/1960,05:56:17 PM,57.37,62,11/8/1997,Q4,H2,1997,11,November,Nov,8,Saturday,Sat,19.73,190765,0%,120-98-6155,480-946-9780,Willow Beach,Mohave,Willow Beach,AZ,86445,West,cdnelson,QKae{1EP1A[SeX
183071,Drs.,Andrea,P,Garcia,F,andrea.garcia@aol.com,Mark Garcia,Nicole Garcia,Howard,7/6/1985,12:49:53 AM,32.08,52,4/18/2010,Q2,H1,2010,4,April,Apr,18,Sunday,Sun,7.28,54179,25%,213-91-6792,219-624-3708,Granger,St. Joseph,Granger,IN,46530,Midwest,apgarcia,eI!^kXR]Q^V+
316110,Mr.,Jeremy,I,Sanchez,M,jeremy.sanchez@hotmail.com,Albert Sanchez,Patricia Sanchez,Ross,2/5/1965,04:25:09 PM,52.51,52,4/2/2006,Q2,H1,2006,4,April,Apr,2,Sunday,Sun,11.33,178847,1%,474-55-8883,423-974-2755,Alcoa,Blount,Alcoa,TN,37701,South,jisanchez,Yg#Z+:CDwDV<*xZ
293459,Mr.,Steven,J,Phillips,M,steven.phillips@hotmail.com,Jason Phillips,Gloria Phillips,Lewis,9/12/1986,05:00:38 AM,30.9,58,3/27/2015,Q1,H1,2015,3,March,Mar,27,Friday,Fri,2.34,90108,24%,578-53-9940,225-968-5952,Baton Rouge,East Baton Rouge,Baton Rouge,LA,70833,South,sjphillips,ht}X55$P&g1
732017,Ms.,Cynthia,J,Ramirez,F,cynthia.ramirez@btinternet.com,Walter Ramirez,Evelyn Ramirez,Smith,9/22/1982,10:04:25 PM,34.87,47,2/18/2009,Q1,H1,2009,2,February,Feb,18,Wednesday,Wed,8.44,90531,2%,355-08-4606,406-961-7340,Browning,Glacier,Browning,MT,59417,West,cjramirez,qP-#AhuNuz*Wb]
915638,Dr.,Jason,W,Anderson,M,jason.anderson@gmail.com,Brandon Anderson,Julia Anderson,Baker,1/3/1974,06:47:06 PM,43.59,57,9/21/1999,Q3,H2,1999,9,September,Sep,21,Tuesday,Tue,17.86,76636,19%,048-15-7937,217-856-6752,Hudson,McLean,Hudson,IL,61748,Midwest,jwanderson,a3Hlk+.V/TjD
478003,Hon.,Cynthia,X,White,F,cynthia.white@gmail.com,Nicholas White,Katherine White,Turner,6/15/1963,12:19:06 PM,54.16,60,3/4/2004,Q1,H1,2004,3,March,Mar,4,Thursday,Thu,13.41,186200,30%,364-39-4983,314-593-3092,Kansas City,Jackson,Kansas City,MO,64133,Midwest,cxwhite,mofyGR>.?Dwb4!
951225,Ms.,Margaret,N,Brooks,F,margaret.brooks@gmail.com,Johnny Brooks,Debra Brooks,Robinson,6/27/1992,06:57:19 AM,25.1,56,8/26/2016,Q3,H2,2016,8,August,Aug,26,Friday,Fri,0.92,43867,9%,057-02-6958,303-960-0117,Haswell,Kiowa,Haswell,CO,81045,West,mnbrooks,0*2k8uW&:{i{
883936,Mr.,Douglas,I,Flores,M,douglas.flores@gmail.com,Justin Flores,Kathy Flores,Ramirez,4/21/1986,01:44:47 AM,31.29,61,9/10/2009,Q3,H2,2009,9,September,Sep,10,Thursday,Thu,7.88,181793,20%,324-11-6837,303-836-4721,Eckert,Delta,Eckert,CO,81418,West,diflores,9||FLq|0tU|9>v
